tuning_index,fold,epoch,val_acc,val_prec,val_recall,val_f1
2,1,1,0.6642857142857143,0.7022959100887793,0.6088673320008766,0.6004919514118564
2,1,2,0.6071428571428571,0.7183591020265548,0.5274032105949796,0.5271928370281872
2,1,3,0.6952380952380952,0.7049510892620324,0.6384890284222385,0.6359388249028444
2,1,4,0.2976190476190476,0.128792017189264,0.23658157421044015,0.14514215386794874
2,1,5,0.38095238095238093,0.2818170976799673,0.3436988963243361,0.30168437682907595
2,1,6,0.430952380952381,0.40498708939891764,0.37237232651089497,0.37339064586339005
2,1,7,0.48095238095238096,0.4289857664215541,0.42722727431830676,0.41856250094439545
2,1,8,0.5238095238095238,0.45311464638051335,0.4541206037030469,0.4449313278108759
2,1,9,0.5404761904761904,0.4896853296046844,0.474169681558281,0.46553499254103076
2,1,10,0.5285714285714286,0.4564241032042841,0.46082153809211696,0.454900913618079
2,2,1,0.7303102625298329,0.7657421923646113,0.6838591009885086,0.7068050032070184
2,2,2,0.7494033412887828,0.7877914372396869,0.6916479936114933,0.6952889786223121
2,2,3,0.7159904534606205,0.7339658902850932,0.7044803054132543,0.7048795720041642
2,2,4,0.2315035799522673,0.038583929992044554,0.16666666666666666,0.06266149870801034
2,2,5,0.2315035799522673,0.038583929992044554,0.16666666666666666,0.06266149870801034
2,2,6,0.38902147971360385,0.3218862501041531,0.339450144470927,0.3282633958755916
2,2,7,0.41766109785202865,0.3897373538501212,0.36518228418264326,0.3510102788098692
2,2,8,0.42482100238663484,0.33867109020186464,0.3774594010097813,0.3489034385898586
2,2,9,0.441527446300716,0.3705885644482339,0.39385896821291605,0.3794237622558588
2,2,10,0.4892601431980907,0.4099194300966637,0.43319069937808163,0.41903209188755225
2,3,1,0.6610978520286396,0.6203654374409301,0.5638959312123711,0.5518942192329034
2,3,2,0.7303102625298329,0.7403038407338794,0.673882837445834,0.6834333365233287
2,3,3,0.7494033412887828,0.6594956981942753,0.6523109682687024,0.6384713559232534
2,3,4,0.2315035799522673,0.038583929992044554,0.16666666666666666,0.06266149870801034
2,3,5,0.19331742243436753,0.03221957040572792,0.16666666666666666,0.054
2,3,6,0.22911694510739858,0.07845596432552954,0.17292587137947965,0.10457516339869281
2,3,7,0.2744630071599045,0.15632559477676788,0.21947645037396402,0.1504358098642212
2,3,8,0.28162291169451076,0.30305114528891886,0.24035249506199285,0.21531138846404332
2,3,9,0.36992840095465396,0.3691834797819347,0.3400995250755697,0.3012844401071413
2,3,10,0.40572792362768495,0.36011370976568946,0.3745992471100507,0.350417640578743
2,4,1,0.6467780429594272,0.7083911825599806,0.5927610316070079,0.6022997290194894
2,4,2,0.7398568019093079,0.7895739475904741,0.6756373842827519,0.699553463614821
2,4,3,0.7446300715990454,0.7302214227668195,0.68294109907009,0.6940636165749372
2,4,4,0.23389021479713604,0.03898170246618934,0.16666666666666666,0.06318504190844616
2,4,5,0.23389021479713604,0.03898170246618934,0.16666666666666666,0.06318504190844616
2,4,6,0.30787589498806683,0.23520286222803385,0.24845009488035463,0.22076959866233736
2,4,7,0.38663484486873506,0.36738360490280614,0.3291029303585817,0.32474852090829304
2,4,8,0.4081145584725537,0.36618372826166534,0.36176488953404834,0.33623033371927163
2,4,9,0.40572792362768495,0.3634485482946204,0.3496932508833772,0.3409866366091559
2,4,10,0.47494033412887826,0.5007890565363791,0.4276376928612898,0.41111301450816
2,5,1,0.6682577565632458,0.6823137407976998,0.6407848702250752,0.6368591375523583
2,5,2,0.7183770883054893,0.7193670590923217,0.6915975707327612,0.6895139898441941
2,5,3,0.6897374701670644,0.7283524972566179,0.6417768380781248,0.6429307058824906
2,5,4,0.2315035799522673,0.038583929992044554,0.16666666666666666,0.06266149870801034
2,5,5,0.24105011933174225,0.10023024361259654,0.17632850241545894,0.0806930693069307
2,5,6,0.3198090692124105,0.2811756436903626,0.2699376049495213,0.24051276139963132
2,5,7,0.40572792362768495,0.34747479093936007,0.35268244678057625,0.3404191765332288
2,5,8,0.431980906921241,0.366774113571894,0.3796227758289505,0.36175240136628606
2,5,9,0.40572792362768495,0.3984369955555831,0.35355845479409237,0.3535667055101929
2,5,10,0.4439140811455847,0.40004316624062647,0.4008844270074605,0.3938470672905987
